"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"AE1","1","470uH","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
"AE2","1","Antenna","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal",""
"C1,C10","2","0.1u","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"C2,C3","2","22p","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"C4","1","100n","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"C5,C11,C12","3","0.47u","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"C6,C7,C8,C9","4","1u","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"D1,D2","2","LED","","","","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm",""
"IC1","1","SI4844-B20-GUR","","","","KiCad2:SOP64P600X175-24N","https://www.mouser.com/datasheet/2/472/Si4844_B20-2507496.pdf"
"J1","1","AudioJack3_SwitchTR","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal",""
"L1","1","2.5k/100M","","","","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC",""
"LS1,LS2","2","Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2","2","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5,R6","2","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R8","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1","1","100k","","","","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"SW2,SW5","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
"SW3","1","SW_SPDT","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"SW4","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"U1","1","DM-OLED096-636","","","","DM-OLED096-636:MODULE_DM-OLED096-636",""
"U3","1","PAM8403D","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.diodes.com/assets/Datasheets/products_inactive_data/PAM8403.pdf"
"Y1","1","32.768kHz","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm",""
